_id,Idade,T_freq_bar_rest,Cidade,Bairro_bh,Regional,Estado_pais,restricao,outro_restricao,freq_aliment_rotina,freq_aliment_lazer,estab_rotina,estab_lazer,culinaria_fav,outra_culinaria,qtde_bar_rest_bh,disr_bar_rest,pratos_mineira,oferta_prato_mineiro_qualidade,cerveja_cachaca,cerv_cach1,cerv_cach2,cerv_cach3,facilidade_cerv_cach,local_compra_cerv_cach,outro_local_cerv_cach,motivo_nao,motivo_viagem,pernoites_qt,culinaria_decisao_viagem,T_aval_qualidadepratos,T_aval_horariofuncionamento,T_aval_infraestrutura,T_aval_atendimento,T_aval_diversidade,T_aval_apresetacao,T_aval_custobeneficio,T_percepcaobaresrest,T_expec_bh,prato_unico_bh,qual_prato,recomendacao,satisfeitocombares_rest_perto_casa,nao_porque,facilidade_comidatipicamin,principal_dificuldade,Variedade_Culinaria,Decoracao_conforto,Estacionamento,Entretenimento,Refeio,Atendimento,Limpeza,Custo_Benefcio,Apresentao_pratos,fonte_informacao,outras_fontes,festival_gastronomico,motivo_nao_festival,companhia_restaurantes_bares,gasto_medio_gastro,genero,renda_familiar,grau_instrucao
1,21,"",Belo Horizonte,Tirol,Barreiro,MG,Nao,"",6 dias por semana,2 dias por semana,Restaurante Self-service,Fast-foods,Italiana,"",Bares suficientes/ restaurantes insuficientes,Acho que existem bares e restaurantes em toda a cidade,Feijoada,Nao sabe,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",31,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,2,3,5,3,1,2,4,Google,"",Nao,localizacao,Conjuge/namorado(a),50,Feminino,Nao respondeu,Medio completo
2,43,"",Belo Horizonte,Flavio Marques,Barreiro,MG,Nao,"",3 dias por semana,3 vezes por mes,Restaurantes de Buffet,Restaurante Self-service,Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Acho que existem bares e restaurantes em toda a cidade,Feijoada,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",32,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",3,5,1,,5,5,3,1,3,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,30,Masculino,Ate 1 SM (R$ 954),Fundamental  completo
3,39,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",5 dias por semana,Raramente,Restaurante Self-service,Restaurante A La carte,Italiana,"",Bares suficientes/ restaurantes insuficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijao Tropeiro,Sim- principalmente os restaurantes,Sim,Backer,"","",NS/NI,Nao sabe,"","","",33,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",5,5,3,3,5,5,4,3,5,Google,"",Sim,"",Conjuge/namorado(a) e filhos,100,Masculino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Superior incompleto
4,55,"",Belo Horizonte,Flavio Marques,Barreiro,MG,Nao,"",Nunca,Nunca,NA,NA,Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Nao,Nao,"","","","","","",Falta de informacao,"",34,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",5,3,1,4,3,1,1,5,5,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,50,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Fundamental  completo
5,54,"",Belo Horizonte,Cardoso,Barreiro,MG,Nao,"",Nunca,Raramente,NA,Restaurante Self-service,Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Quiabo com angu,Nao sabe,Nao,"","","","","","",Falta de informacao,"",35,"","","","","","","","","","","","",Nao recomendo,Em termos- os bares sao bons mas restaurantes nem tanto,"",Alta facilidade,"",5,5,5,5,5,5,5,3,4,Nao sabe,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,50,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Fundamental  completo
6,18,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",Nunca,3 vezes por mes,NA,Fast-foods,Italiana,"",Bares suficientes/ restaurantes insuficientes,Os bares sao mais concentrados mas restaurantes nao,Feijao Tropeiro,Nao,Nao,"","","","","","",Falta de informacao,"",36,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",3,4,,5,2,5,4,2,4,Amigos e familiares,"",Nao,falta de informacao,Amigos,50,Feminino,Nao respondeu,Medio completo
7,18,"",Belo Horizonte,Miramar,Barreiro,MG,Nao,"",7 dias por semana,3 vezes por mes,Fast-foods,Bares (petiscos e afins),Italiana,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os bares,Nao,"","","","","","",Falta de informacao,"",37,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",3,4,3,3,3,4,4,4,3,Google,"",Nao,falta de informacao,Amigos,30,Masculino,Nao respondeu,Medio completo
8,31,"",Belo Horizonte,Marilandia,Barreiro,MG,Nao,"",Raramente,1 vez por mes,Restaurante Self-service,Restaurante Self-service,Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",38,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",5,4,1,2,3,3,3,2,4,Redes sociais,"",Nao,precos elevados,Conjuge/namorado(a) e filhos,50,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
9,37,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",3 vezes por mes,2 vezes por mes,Restaurante Self-service,Restaurante A La carte,Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Nao sabe,Nao,"","","","","","",Falta de informacao,"",39,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",2,1,1,2,3,1,2,2,1,Google,"",Sim,"",Conjuge/namorado(a),40,Masculino,Nao respondeu,Mestrado /Doutorado
10,22,"",Belo Horizonte,Cardoso,Barreiro,MG,Nao,"",4 dias por semana,3 vezes por mes,Restaurantes de Buffet,Fast-foods,Italiana,"",Ambos Suficientes,Os bares sao mais concentrados mas restaurantes nao,Feijao tropeiro; feijoada; tutu,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Falta de oportunidade,"",40,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",4,3,,4,5,3,4,4,5,Amigos e familiares,"",Nao,falta de informacao,Amigos,40,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior incompleto
